date,indicator_name,classification1,classification2,close
2025-01-01,消費税を除く国内企業物価指数,品目,印刷装置,113.4
2025-01-01,消費税を除く国内企業物価指数,品目,印刷関連機械,132.2
2025-01-01,消費税を除く国内企業物価指数,品目,即席みそ汁・インスタントスープ,117.1
2025-01-01,消費税を除く国内企業物価指数,品目,即席めん,118.4
2025-01-01,消費税を除く国内企業物価指数,品目,厚中板,158.6
2025-01-01,消費税を除く国内企業物価指数,品目,原乳,116.5
2025-01-01,消費税を除く国内企業物価指数,品目,古紙,119.5
2025-01-01,消費税を除く国内企業物価指数,品目,合わせガラス,121.8
2025-01-01,消費税を除く国内企業物価指数,品目,合成アセトン,153.0
2025-01-01,消費税を除く国内企業物価指数,品目,合成ゴム,191.5
2025-01-01,消費税を除く国内企業物価指数,品目,合成染料,115.6
2025-01-01,消費税を除く国内企業物価指数,品目,合成樹脂塗料,120.9
2025-01-01,消費税を除く国内企業物価指数,品目,合成皮革,128.0
2025-01-01,消費税を除く国内企業物価指数,品目,和生菓子,118.2
2025-01-01,消費税を除く国内企業物価指数,品目,和風めん,119.6
2025-01-01,消費税を除く国内企業物価指数,品目,固定局通信装置,109.9
2025-01-01,消費税を除く国内企業物価指数,品目,圧力計・流量計,110.9
2025-01-01,消費税を除く国内企業物価指数,品目,圧縮ガス・液化ガス,117.8
2025-01-01,消費税を除く国内企業物価指数,品目,圧縮機・送風機,121.0
2025-01-01,消費税を除く国内企業物価指数,品目,塗工印刷用紙,137.2
2025-01-01,消費税を除く国内企業物価指数,品目,塩,128.3
2025-01-01,消費税を除く国内企業物価指数,品目,塩化ビニルモノマー,146.1
2025-01-01,消費税を除く国内企業物価指数,品目,塩化ビニル樹脂,148.5
2025-01-01,消費税を除く国内企業物価指数,品目,塩干・塩蔵品,154.0
2025-01-01,消費税を除く国内企業物価指数,品目,壁紙・ふすま紙,145.8
2025-01-01,消費税を除く国内企業物価指数,品目,変圧器・計器用変成器,145.0
2025-01-01,消費税を除く国内企業物価指数,品目,変換部品,114.6
2025-01-01,消費税を除く国内企業物価指数,品目,変速機,127.2
2025-01-01,消費税を除く国内企業物価指数,品目,外衣・シャツ,117.1
2025-01-01,消費税を除く国内企業物価指数,品目,外部記憶装置,108.4
2025-01-01,消費税を除く国内企業物価指数,品目,大人用紙おむつ,124.5
2025-01-01,消費税を除く国内企業物価指数,品目,天然ガス,180.6
2025-01-01,消費税を除く国内企業物価指数,品目,始動電動機,120.0
2025-01-01,消費税を除く国内企業物価指数,品目,娯楽機器,104.2
2025-01-01,消費税を除く国内企業物価指数,品目,子供用紙おむつ,117.9
2025-01-01,消費税を除く国内企業物価指数,品目,家庭用合成洗剤,112.5
2025-01-01,消費税を除く国内企業物価指数,品目,寝具,118.0
2025-01-01,消費税を除く国内企業物価指数,品目,封筒,117.5
2025-01-01,消費税を除く国内企業物価指数,品目,小形棒鋼,160.1
2025-01-01,消費税を除く国内企業物価指数,品目,小麦粉,125.2
2025-01-01,消費税を除く国内企業物価指数,品目,工具鋼,128.5
2025-01-01,消費税を除く国内企業物価指数,品目,工業用スポンジ製品,105.3
2025-01-01,消費税を除く国内企業物価指数,品目,工業用水,101.5
2025-01-01,消費税を除く国内企業物価指数,品目,工業計器,107.7
2025-01-01,消費税を除く国内企業物価指数,品目,巻上機,120.0
2025-01-01,消費税を除く国内企業物価指数,品目,干のり,182.5
2025-01-01,消費税を除く国内企業物価指数,品目,平版印刷物,124.6
2025-01-01,消費税を除く国内企業物価指数,品目,床板,124.8
2025-01-01,消費税を除く国内企業物価指数,品目,建築用板金製品,125.1
2025-01-01,消費税を除く国内企業物価指数,品目,建設用クレーン,118.7
2025-01-01,消費税を除く国内企業物価指数,品目,建設用トラクタ,111.8
2025-01-01,消費税を除く国内企業物価指数,品目,強化ガラス,127.8
2025-01-01,消費税を除く国内企業物価指数,品目,強化プラスチック管板類,135.4
2025-01-01,消費税を除く国内企業物価指数,品目,形鋼,149.6
2025-01-01,消費税を除く国内企業物価指数,品目,情報用紙,127.8
2025-01-01,消費税を除く国内企業物価指数,品目,懸架・制動装置部品,107.3
2025-01-01,消費税を除く国内企業物価指数,品目,掘さく機,114.1
2025-01-01,消費税を除く国内企業物価指数,品目,接着剤,122.6
2025-01-01,消費税を除く国内企業物価指数,品目,接続部品,111.6
2025-01-01,消費税を除く国内企業物価指数,品目,換気扇,127.0
2025-01-01,消費税を除く国内企業物価指数,品目,敷物,111.9
2025-01-01,消費税を除く国内企業物価指数,品目,新聞用紙,131.6
2025-01-01,消費税を除く国内企業物価指数,品目,旋盤,115.3
2025-01-01,消費税を除く国内企業物価指数,品目,日用紙製品,115.2
2025-01-01,消費税を除く国内企業物価指数,品目,普通合板,108.7
2025-01-01,消費税を除く国内企業物価指数,品目,普通鋼鋼管,150.6
2025-01-01,消費税を除く国内企業物価指数,品目,普通鋼鋼線・特殊鋼鋼線,164.2
2025-01-01,消費税を除く国内企業物価指数,品目,有線電気通信機器,107.0
2025-01-01,消費税を除く国内企業物価指数,品目,木材チップ,118.6
2025-01-01,消費税を除く国内企業物価指数,品目,木箱,122.5
2025-01-01,消費税を除く国内企業物価指数,品目,木製建具,112.0
2025-01-01,消費税を除く国内企業物価指数,品目,木製机・いす,123.5
2025-01-01,消費税を除く国内企業物価指数,品目,木製棚,129.6
2025-01-01,消費税を除く国内企業物価指数,品目,木製流し台セット,121.2
2025-01-01,消費税を除く国内企業物価指数,品目,板,111.6
2025-01-01,消費税を除く国内企業物価指数,品目,板ガラス,126.8
2025-01-01,消費税を除く国内企業物価指数,品目,果実・野菜缶詰,142.5
2025-01-01,消費税を除く国内企業物価指数,品目,果実酒・チューハイ,108.1
2025-01-01,消費税を除く国内企業物価指数,品目,架線金物,139.6
2025-01-01,消費税を除く国内企業物価指数,品目,柔軟仕上げ剤,105.9
2025-01-01,消費税を除く国内企業物価指数,品目,梱包用材,144.6
2025-01-01,消費税を除く国内企業物価指数,品目,植物油搾かす,144.9
2025-01-01,消費税を除く国内企業物価指数,品目,植物油脂（除混合植物油脂）,144.9
2025-01-01,消費税を除く国内企業物価指数,品目,業務用エアコン,108.9
2025-01-01,消費税を除く国内企業物価指数,品目,構造用合金鋼,150.8
2025-01-01,消費税を除く国内企業物価指数,品目,橋りょう,131.0
2025-01-01,消費税を除く国内企業物価指数,品目,機械構造用炭素鋼,149.0
2025-01-01,消費税を除く国内企業物価指数,品目,機械用銑鉄鋳物,133.9
2025-01-01,消費税を除く国内企業物価指数,品目,歯磨,94.8
2025-01-01,消費税を除く国内企業物価指数,品目,歯科材料,107.5
2025-01-01,消費税を除く国内企業物価指数,品目,歯科用機器,102.4
2025-01-01,消費税を除く国内企業物価指数,品目,歯車,123.1
2025-01-01,消費税を除く国内企業物価指数,品目,段ボール,130.2
2025-01-01,消費税を除く国内企業物価指数,品目,段ボール箱,121.9
2025-01-01,消費税を除く国内企業物価指数,品目,民生用エアコンディショナ,116.5
